LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID2209,2209,17,-1,37.06063341,44.79983342,1,0,0,5,1,r=11;g=11;b=10,89.72798835,50.13975525,10.54229641,677.0633545,2807319.571,88.81301688,0.342119826,0.515072371
ID2245,2245,20,-1,33.7438334,36.04716674,2,0,0,5,1,r=11;g=11;b=10,86.62583963,53.3814888,11.96862411,807.8219604,2710262.645,93.1692028,0.251651708,0.373870724
ID2089,2089,7,-1,42.22010008,49.22223343,2,0,0,5,1,r=11;g=11;b=10,70.14299051,41.17703629,10.32070923,519.7873535,2194563.744,66.67231865,0.215326213,0.372797294
ID2282,2282,23,-1,36.96850007,30.24276673,1,0,0,5,1,r=11;g=11;b=10,93.5746792,60.93466568,12.42111206,715.5801392,2927670.988,91.81767715,0.289989233,0.458202895
ID2059,2059,4,-1,40.10103341,43.87850009,1,0,0,5,1,r=11;g=11;b=10,97.50063386,61.65114594,11.94639301,677.0633545,3050502.332,88.89748687,0.393627199,0.619564374
ID2348,2348,28,-1,31.99330006,23.42490005,2,0,0,5,1,r=11;g=11;b=10,93.08440348,70.1370697,12.03748131,630.227478,2912331.732,72.72912976,0.210123316,0.444470705
ID2382,2382,31,-1,30.9798334,16.1463667,2,0,0,5,1,r=11;g=11;b=10,101.6813821,74.78531647,14.50174904,619.388916,3181305.4,79.21874218,0.248780845,0.511415873
ID2351,2351,29,-1,32.6382334,25.35970005,1,0,0,5,1,r=11;g=11;b=10,95.17214479,70.30038452,12.03748131,630.227478,2977650.894,75.19507628,0.255534781,0.515195096
ID2003,2003,0,-1,38.44263341,36.87636674,1,0,0,5,1,r=11;g=11;b=10,96.25250276,56.09500122,12.28369999,807.8219604,3011452.054,100.3153149,0.334974232,0.481518861
ID2100,2100,8,-1,41.39090008,51.43343344,2,0,0,5,1,r=11;g=11;b=10,71.6940387,43.05062103,10.32070923,487.1480408,2243091.389,66.20951522,0.21823713,0.387962227
ID2132,2132,10,-1,38.44263341,49.49863343,2,0,0,5,1,r=11;g=11;b=10,74.55180638,43.33757782,10.32070923,519.7873535,2332502.366,70.66414478,0.232286388,0.397741739
ID2228,2228,19,-1,34.94156674,39.82463341,2,0,0,5,1,r=11;g=11;b=10,81.80232119,46.39011383,12.28369999,807.8219604,2559349.223,92.01598293,0.233567647,0.336652674
ID2260,2260,21,-1,33.65170007,34.2966334,2,0,0,5,1,r=11;g=11;b=10,88.31363127,57.24555969,12.28369999,715.5801392,2763068.582,90.17305466,0.250690124,0.392616422
