LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID2472,2472,35,-1,45.09464141,43.68955035,2,0,0,5,1,r=11;g=12;b=0,177.8760028,87.21929169,32.24163437,1319.651489,5565206.501,198.4953729,0.306840172,0.420810639
ID2409,2409,30,-1,51.17500573,23.2530026,13,0,0,5,1,r=11;g=11;b=0,97.60014475,75.81946564,38.0536232,538.7794189,3053615.729,58.18331717,0.118636862,0.355805375
ID2218,2218,17,-1,52.92300593,46.85100525,4,0,0,5,1,r=11;g=11;b=0,114.170526,80.80857086,35.73439026,767.0274048,3572053.245,89.24959031,0.055162068,0.133751645
ID2603,2603,47,-1,41.28082281,38.00227698,3,0,0,5,1,r=11;g=12;b=0,179.2357145,91.63327789,20.62426949,1779.635132,5607747.798,209.2241236,0.289118541,0.38426062
ID2795,2795,61,-1,34.79064026,16.72518369,9,0,0,5,1,r=11;g=12;b=0,98.52150569,69.04051208,34.02341461,908.3496704,3082442.349,84.7191684,0.131862598,0.270961302
ID2028,2028,2,-1,51.17500573,54.67100612,3,0,0,5,1,r=11;g=11;b=0,127.0211244,95.47325134,34.75065994,1120.753662,3974109.919,89.79147878,0.083281346,0.217509032
ID2348,2348,26,-1,55.13100617,27.16300304,10,0,0,5,1,r=11;g=11;b=0,109.9647359,86.96765137,34.55987549,507.9058228,3440466.693,64.2450391,0.150573512,0.448000028
ID2863,2863,66,-1,33.92082198,11.17172852,10,0,0,5,1,r=11;g=12;b=0,107.3819248,73.93806458,32.36315155,842.5737915,3359658.281,90.48556096,0.16936222,0.343755279
ID2417,2417,31,-1,46.71300523,15.57100174,17,0,0,5,1,r=11;g=11;b=0,100.1225745,71.88115692,35.08844376,708.9865112,3132534.988,78.78772217,0.137291679,0.306814452
ID2292,2292,22,-1,49.79500558,26.97900302,11,0,0,5,1,r=11;g=11;b=0,96.98894942,74.92926025,36.41091919,466.1111755,3034493.26,58.22026379,0.124031022,0.367646222
ID2230,2230,18,-1,52.99200594,42.02100471,4,0,0,5,1,r=11;g=11;b=0,106.7511462,73.0595932,35.75930405,767.0274048,3339923.111,84.90329579,0.061097897,0.144793411
ID2167,2167,12,-1,55.47600621,51.7845058,4,0,0,5,1,r=11;g=11;b=0,133.2992628,98.62795258,34.75065994,928.9164429,4170534.034,99.63624405,0.145204008,0.33926272
ID2680,2680,52,-1,43.82336854,34.79064026,3,0,0,5,1,r=11;g=12;b=0,125.0262299,67.17515564,20.62426949,1779.635132,3911695.655,162.0029691,0.128320942,0.175538769
ID2042,2042,3,-1,50.8990057,59.31700664,2,0,0,5,1,r=11;g=11;b=0,139.901292,100.069664,33.1618576,734.4656982,4377091.721,100.519315,0.144691897,0.351850199
ID2170,2170,13,-1,52.12950584,50.8875057,3,0,0,5,1,r=11;g=11;b=0,116.942569,89.23902893,34.75065994,749.2576904,3658782.157,80.80062335,0.0359317,0.100400194
ID2683,2683,53,-1,39.34045895,29.0364578,6,0,0,5,1,r=11;g=12;b=0,108.5541807,65.36375427,28.42258263,1332.076294,3396334.651,120.4810894,0.108037912,0.175703019
ID2747,2747,56,-1,36.79791321,19.86991132,8,0,0,5,1,r=11;g=12;b=0,101.8722358,71.21373749,35.50648499,908.3496704,3187276.64,87.08236875,0.161092763,0.324612105
ID2621,2621,48,-1,44.42555043,37.66773149,3,0,0,5,1,r=11;g=12;b=0,139.8088466,69.04618073,20.62426949,1779.635132,4374199.384,182.528344,0.170962275,0.22366175
ID2749,2749,57,-1,37.66773149,21.81027517,8,0,0,5,1,r=11;g=12;b=0,102.1987941,70.63137817,32.00832748,808.8609009,3197493.671,86.4906862,0.163828875,0.332665486
ID2814,2814,63,-1,34.25536747,13.24591057,9,0,0,5,1,r=11;g=12;b=0,105.126445,72.3117981,32.36315155,908.3496704,3289091.086,92.72544454,0.155529445,0.305193061
ID2111,2111,8,-1,52.09500583,53.06100594,3,0,0,5,1,r=11;g=11;b=0,123.6338083,95.10140991,34.75065994,749.2576904,3868130.96,82.2330865,0.067067948,0.188992076
ID2623,2623,49,-1,44.09100494,31.84663993,4,0,0,5,1,r=11;g=12;b=0,110.3233608,62.64151382,28.42258263,1779.635132,3451686.991,138.3672113,0.108614789,0.156232933
ID2816,2816,63,-1,31.77973083,11.64009221,11,1,1,5,1,r=11;g=12;b=0,83.26681964,62.54947281,22.69626808,568.4277954,2605168.986,56.62229406,0.121353996,0.318292098
ID2113,2113,8,-1,52.41700587,50.71500568,3,1,1,5,1,r=11;g=11;b=0,127.2538347,89.02669525,22.26020432,920.8237305,3981390.725,104.0362526,0.058321963,0.134812604
ID2625,2625,49,-1,43.22118666,30.84300345,4,1,1,5,1,r=11;g=12;b=0,126.9872918,59.88770676,14.41497898,2253.638428,3973051.4,199.8051994,0.18684764,0.200113376
ID2308,2308,23,-1,41.69900467,16.76700188,18,1,1,5,1,r=11;g=11;b=0,81.41835746,61.17184067,24.12591934,557.1164551,2547336.15,57.00096491,0.097699978,0.254261693
ID2437,2437,32,-1,45.05700505,12.30500138,19,1,1,5,1,r=11;g=11;b=0,88.90757927,64.04386902,26.57873535,676.4290771,2781651.433,65.62638156,0.157398323,0.368474616
ID2760,2760,58,-1,31.64591264,20.13754771,9,1,1,5,1,r=11;g=12;b=0,52.74167515,50.27541733,25.93595886,186.8455048,1650128.791,12.63628899,-0.142494488,-1.387156657
ID2253,2253,19,-1,53.64750601,39.91650447,4,1,1,5,1,r=11;g=11;b=0,129.0179969,70.6215744,23.8244648,1182.703369,4036586.068,147.745701,0.140619935,0.215313556
ID2446,2446,33,-1,40.96300459,12.71900142,19,1,1,5,1,r=11;g=11;b=0,91.6754383,68.18443298,28.41414261,676.4290771,2868249.438,65.11011347,0.159885065,0.388174926
ID2510,2510,38,-1,41.4815501,40.07645903,2,1,1,5,1,r=11;g=12;b=0,189.2031561,94.03229523,16.78419876,2136.950195,5919599.144,230.4844853,0.34297045,0.419282679
ID2767,2767,59,-1,39.07282256,17.26045648,8,1,1,5,1,r=11;g=12;b=0,87.16060529,64.17626953,24.29814148,628.4905396,2726993.858,65.6000838,0.142105029,0.330635319
